STARTTIME,STOPTIME,STARTTIME_GMT,STOPTIME_GMT,STARTDATE,MARKET_RUN_ID,RESOURCE_TYPE,SCHEDULINGCOORDINATOR_SEQ,RESOURCEBID_SEQ,TIMEINTERVALSTART,TIMEINTERVALEND,TIMEINTERVALSTART_GMT,TIMEINTERVALEND_GMT,PRODUCTBID_DESC,PRODUCTBID_MRID,MARKETPRODUCT_DESC,MARKETPRODUCTTYPE,GHG_AREA,SELFSCHEDMW,SCH_BID_TIMEINTERVALSTART,SCH_BID_TIMEINTERVALSTOP,SCH_BID_TIMEINTERVALSTART_GMT,SCH_BID_TIMEINTERVALSTOP_GMT,SCH_BID_XAXISDATA,SCH_BID_Y1AXISDATA,SCH_BID_Y2AXISDATA,SCH_BID_CURVETYPE,MINEOHSTATEOFCHARGE,MAXEOHSTATEOFCHARGE
2025-04-08T18:00:00,2025-04-08T19:00:00,2025-04-09T01:00:00-00:00,2025-04-09T02:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,191300,,,,,,,,EN,,,2025-04-08T18:00:00,2025-04-08T19:00:00,2025-04-09T01:00:00-00:00,2025-04-09T02:00:00-00:00,0,150,,BIDPRICE,,
2025-04-08T18:00:00,2025-04-08T19:00:00,2025-04-09T01:00:00-00:00,2025-04-09T02:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,191300,,,,,,,,EN,,,2025-04-08T18:00:00,2025-04-08T19:00:00,2025-04-09T01:00:00-00:00,2025-04-09T02:00:00-00:00,0.06,949,,BIDPRICE,,
2025-04-08T18:00:00,2025-04-08T19:00:00,2025-04-09T01:00:00-00:00,2025-04-09T02:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,191300,,,,,,,,EN,,,2025-04-08T18:00:00,2025-04-08T19:00:00,2025-04-09T01:00:00-00:00,2025-04-09T02:00:00-00:00,0.1,949,,BIDPRICE,,
2025-04-08T19:00:00,2025-04-08T21:00:00,2025-04-09T02:00:00-00:00,2025-04-09T04:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,191300,,,,,,,,EN,,,2025-04-08T19:00:00,2025-04-08T21:00:00,2025-04-09T02:00:00-00:00,2025-04-09T04:00:00-00:00,0,10,,BIDPRICE,,
2025-04-08T19:00:00,2025-04-08T21:00:00,2025-04-09T02:00:00-00:00,2025-04-09T04:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,191300,,,,,,,,EN,,,2025-04-08T19:00:00,2025-04-08T21:00:00,2025-04-09T02:00:00-00:00,2025-04-09T04:00:00-00:00,0.03,949,,BIDPRICE,,
2025-04-08T19:00:00,2025-04-08T21:00:00,2025-04-09T02:00:00-00:00,2025-04-09T04:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,191300,,,,,,,,EN,,,2025-04-08T19:00:00,2025-04-08T21:00:00,2025-04-09T02:00:00-00:00,2025-04-09T04:00:00-00:00,0.1,949,,BIDPRICE,,
2025-04-08T21:00:00,2025-04-08T22:00:00,2025-04-09T04:00:00-00:00,2025-04-09T05:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,191300,,,,,,,,EN,,,2025-04-08T21:00:00,2025-04-08T22:00:00,2025-04-09T04:00:00-00:00,2025-04-09T05:00:00-00:00,0,750,,BIDPRICE,,
2025-04-08T21:00:00,2025-04-08T22:00:00,2025-04-09T04:00:00-00:00,2025-04-09T05:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,191300,,,,,,,,EN,,,2025-04-08T21:00:00,2025-04-08T22:00:00,2025-04-09T04:00:00-00:00,2025-04-09T05:00:00-00:00,0.1,750,,BIDPRICE,,
2025-04-08T17:00:00,2025-04-08T22:00:00,2025-04-09T00:00:00-00:00,2025-04-09T05:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,597763,,,,,,,,EN,,,2025-04-08T17:00:00,2025-04-08T22:00:00,2025-04-09T00:00:00-00:00,2025-04-09T05:00:00-00:00,0.01,750,,BIDPRICE,,
2025-04-08T17:00:00,2025-04-08T22:00:00,2025-04-09T00:00:00-00:00,2025-04-09T05:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,597763,,,,,,,,EN,,,2025-04-08T17:00:00,2025-04-08T22:00:00,2025-04-09T00:00:00-00:00,2025-04-09T05:00:00-00:00,0.12,750,,BIDPRICE,,
