interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,curtailment_type,curtailment_reason,fuel_type,curtailment_mwh,curtailment_mw
2026-02-01T00:00:00-08:00,2026-02-01 08:00:00+00:00,2026-02-01T01:00:00-08:00,2026-02-01 09:00:00+00:00,Economic,Local,Solar,0.0,0.0
2026-02-01T00:00:00-08:00,2026-02-01 08:00:00+00:00,2026-02-01T01:00:00-08:00,2026-02-01 09:00:00+00:00,Economic,Local,Wind,0.0,0.0
2026-02-01T00:00:00-08:00,2026-02-01 08:00:00+00:00,2026-02-01T01:00:00-08:00,2026-02-01 09:00:00+00:00,Economic,System,Solar,0.0,0.0
2026-02-01T00:00:00-08:00,2026-02-01 08:00:00+00:00,2026-02-01T01:00:00-08:00,2026-02-01 09:00:00+00:00,Economic,System,Wind,0.0,0.0
2026-02-01T00:00:00-08:00,2026-02-01 08:00:00+00:00,2026-02-01T01:00:00-08:00,2026-02-01 09:00:00+00:00,OperatorInstruction,Local,Solar,0.0,0.0
2026-02-01T00:00:00-08:00,2026-02-01 08:00:00+00:00,2026-02-01T01:00:00-08:00,2026-02-01 09:00:00+00:00,OperatorInstruction,Local,Wind,0.0,0.0
2026-02-01T00:00:00-08:00,2026-02-01 08:00:00+00:00,2026-02-01T01:00:00-08:00,2026-02-01 09:00:00+00:00,OperatorInstruction,System,Solar,0.0,0.0
2026-02-01T00:00:00-08:00,2026-02-01 08:00:00+00:00,2026-02-01T01:00:00-08:00,2026-02-01 09:00:00+00:00,OperatorInstruction,System,Wind,0.0,0.0
2026-02-01T00:00:00-08:00,2026-02-01 08:00:00+00:00,2026-02-01T01:00:00-08:00,2026-02-01 09:00:00+00:00,SelfSchCut,Local,Solar,0.0,0.0
2026-02-01T00:00:00-08:00,2026-02-01 08:00:00+00:00,2026-02-01T01:00:00-08:00,2026-02-01 09:00:00+00:00,SelfSchCut,Local,Wind,0.0,0.0
2026-02-01T00:00:00-08:00,2026-02-01 08:00:00+00:00,2026-02-01T01:00:00-08:00,2026-02-01 09:00:00+00:00,SelfSchCut,System,Solar,0.0,0.0
